subject_id,gender,age,understood,realPeople,comments,passed_attention_checks,total_points,total_pay
6f837d90eafda48e21f94e52903cb304,female,30,yes,yes,NA,1,11,4.18
b3a40644109fd796fe3669cf67817771,female,41,yes,yes,"it was fun,to more of this",1,13,4.39
d2fc467b888564b08fd3b4bfc9db70a2,female,25,yes,yes,Excellent.,2,11,4.18
41bacf3620a925b221f99835f5b512eb,male,27,yes,yes,NA,2,10,4.07
01a762f31e73a002fb646a5f50d1830a,male,26,yes,yes,NA,1,10,4.07
4cdeac522df6f8c7533d1edd1bda81db,male,35,yes,no,NA,2,14,4.5
54205a5aa38ef3e17e68aaed6a52a52e,male,30,yes,yes,NA,2,11,4.18
e9c9a9125202921574e6c73769c73b5f,male,26,yes,yes,NA,1,10,4.07
c28d99f1896415edcdaa0e74b944c751,male,58,yes,no,NA,0,8,3.86
01869295239e76e3c576923ec9a65045,female,23,yes,yes,NA,2,14,4.5
03c22d7d609474c94b57385098245c06,female,48,yes,no,NA,2,11,4.18
83c1baa44bb96267bf657dbdf6639dc3,female,38,yes,yes,no,2,14,4.5
97202234bb7d0283807fe4be110c0a2a,female,19,yes,yes,NA,1,13,4.39
5f4ea8ff8bf0c1e685982fa4ad8cc8d8,male,61,yes,no,NA,1,11,4.18
6c1bd04ba7479383654cbb9fee519f77,male,32,yes,no,The red attention check pop up was kind of weird because it only happened once even though there were two of those checks. I knew I selected the right answer for them.,2,11,4.18
3967077eb495c41aeb4df78d4c1820fc,male,35,yes,yes,I enjoy this,2,11,4.18
d7ff3286c6120a8c57973f0a9ec4bd75,male,28,yes,yes,NA,2,13,4.39
68a8f8236c6d5b37574888f6d5ccd56a,male,62,yes,yes,NA,2,12,4.28
c228c12801903150112dc0892d58e151,female,54,yes,yes,Great survey,2,13,4.39
ade43235f39feac19a824aa20c9927cd,male,49,yes,no,thanks,2,12,4.28
abf636cf0e441a1a60443a689ea575c9,male,43,yes,yes,NA,2,8,3.86
d1fbd6db76d65dbac2849684be62d66f,female,74,yes,yes,NA,2,14,4.5
4143dfc997503e39333a2ffbcb3751f2,female,22,yes,no,NA,2,8,3.86
d65026cc9282e39ce12c59f3f51b65de,male,28,yes,no,NA,2,8,3.86
b00485fe909f93d62fa8f9342d4b8f28,female,49,yes,yes,NONE.,1,12,4.28
5f97db804097766571f1d2f7bc8f169a,male,26,yes,no,NA,2,11,4.18
c5a5d140b0079daa3499699cef5ca92b,female,34,yes,no,NA,0,12,4.28
6613c0535184a9df3a16a762a4043c8c,male,32,yes,yes,NA,2,13,4.39
abc6d805cbfec649a60fcf9a42eea46e,female,50,yes,no,NA,2,14,4.5
7138d40e72762129582702100de10a67,female,28,yes,no,NA,2,15,4.61
906037f0cae34ec7c0c228a5835635b2,female,46,yes,yes,NA,2,10,4.07
4c46c3fb0f9664a07815cbfa52529ead,male,28,yes,yes,NA,1,9,3.96
748f4d7aa587b66b25d6154b7307a1f3,male,56,yes,yes,NA,1,10,4.07
d23f8dbad5603235077fd2de3c4a6caa,female,52,yes,no,NA,1,11,4.18
aee0081da87c31b6dc7ac8feb9383397,female,41,yes,yes,NA,1,9,3.96
014ecc578c1e71c9d83e9ae8bc1761e0,male,56,yes,yes,N/A,2,9,3.96
0b10dcf9457961cd94d7533b0adc9459,female,32,yes,yes,NA,1,8,3.86
0d85dac45fda2b56fe44456add3267b7,male,26,yes,no,NA,2,18,4.93
b577b10b64c9ac6e3964af2a24dff857,female,29,yes,yes,"It was interesting trying to figure out the social rules. Everything worked smoothly, and the setup made me think about real-life relationships.",2,9,3.96
31fc06ababa061cc1ad5d7c9f2c17218,female,57,yes,yes,i enjoyed the study,2,10,4.07
307e4afa6454836549c7bc5fcb55db8c,female,60,yes,yes,na,2,11,4.18
accccf4b445f493172e477705fa9a8c0,male,38,yes,yes,NA,2,15,4.61
b3252d76b5a6acee33fe57ec2973744b,female,66,yes,yes,NA,2,13,4.39
f011807712fd503e586aefa648604d3c,female,38,yes,yes,none,0,7,3.75
9bad48e1cf82e9c71dfad696af12fcaf,male,29,yes,yes,NA,2,8,3.86
a1803a90a054a8768c077981e83f967d,male,34,yes,no,No comments to add.,2,11,4.18
781508041cd34eb8de2f4eebc52c7243,male,32,yes,no,NA,1,10,4.07
cf769cee78c4471477db1f08298e67f2,female,55,yes,no,NA,2,10,4.07
b6665b0c595e3069de71c6836a3eabd8,female,33,yes,yes,NA,1,13,4.39
891b2352baeaa511d576fa90de4e4a94,nonconforming,35,yes,no,NA,2,11,4.18
e552f313fd054feb1b706f73ebbe2c72,male,45,yes,no,no,2,12,4.28
88afa90087dd53a05ed92858b0c43844,female,31,yes,yes,n/a,2,11,4.18
c20fafb9a584b36ff8386ca348ca2820,male,58,yes,yes,NA,2,11,4.18
96697250802af83b81fa49f9e30fbc4f,male,33,yes,no,Thank you.,2,13,4.39
942ac26993ccc0e02e8064a9ecd7a41b,male,50,yes,no,N/A,1,10,4.07
12ec04870be61bc17c0f1693df16945c,female,36,yes,no,NA,2,15,4.61
2f2f78054dd58cbd27196707a96175a7,female,56,yes,no,NA,2,9,3.96
4ae12e3f7bfb1c34a072466d6146316f,female,30,yes,yes,NA,2,9,3.96
03b8e33b4823ea5213a1f67edb53bd3c,female,42,yes,yes,NA,2,16,4.71
4f8b1f4263b24612cbd3c0ca2db83cb1,female,37,yes,yes,NA,2,13,4.39
8e95e6be19ed90aa39c991acabc14057,female,22,yes,yes,No comments.,2,14,4.5
70f8fe57e719c252d70b95acaf1cc9e4,male,36,yes,yes,NO COMMENTS,0,7,3.75
8079a2462ed15736504201e0c306cbd9,female,57,yes,yes,no,2,12,4.28
0e58b3b6ba14c85a46895fa134c2588f,male,45,yes,yes,None,2,14,4.5
e07f845dc3d57005095a4b0c26dea953,male,49,yes,no,NA,1,9,3.96
e8f404a4c297496a9bd100d81fa03c1f,male,33,yes,no,NA,2,13,4.39
dc81d4ebef5cfe2aa587a968c14fd6ff,female,30,yes,yes,No comments,2,13,4.39
7fd8068cf57efceb0e2e5deee2c97df8,male,27,yes,no,NA,1,12,4.28
bdf136ef3ca87d54dc907793225f6000,male,66,yes,yes,NA,2,8,3.86
e93dd9b232a12ffd4ad2f5364ac7f008,female,40,yes,yes,None,2,11,4.18
296b8b33bf94f428925a1253faad1b52,male,25,yes,yes,"I enjoyed performing the tasks, it makes one engage their mental activity.",2,12,4.28
